,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,attached_garage,has_basement,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale
0,7,1996,0,0,132.0,3,0.0,913.0,2122,2,3,559.0,1,220000,1.0,1,0,1,0,0,0,0,1,0,0,0
1,6,2005,0,0,82.0,3,1.0,547.0,1072,2,2,525.0,1,140000,0.0,1,0,0,1,0,0,0,0,0,0,0
2,5,1952,0,0,0.0,3,0.0,924.0,924,1,2,420.0,1,112500,0.0,1,0,1,0,0,0,0,0,0,0,0
3,5,1969,0,0,192.0,3,0.0,1040.0,2080,1,1,504.0,1,135000,1.0,1,0,1,0,0,1,0,0,0,0,0
4,6,1971,0,0,232.0,3,0.0,483.0,987,1,2,264.0,1,85400,0.0,1,0,0,1,0,0,0,0,0,0,1
5,7,2005,0,0,0.0,3,0.0,1208.0,1208,2,3,632.0,1,183600,1.0,1,0,1,0,0,0,0,0,0,0,0
6,5,1880,0,0,0.0,3,0.0,0.0,2016,1,2,576.0,0,131000,1.0,0,0,1,0,0,0,1,0,0,0,0
7,8,1999,0,0,456.0,3,0.0,960.0,1607,2,3,480.0,1,200000,0.0,1,0,0,0,1,0,0,0,0,0,0
8,7,2007,0,0,0.0,3,0.0,1351.0,1361,2,3,610.0,1,193000,1.0,1,0,1,0,0,0,0,0,0,0,0
9,5,1916,0,0,0.0,3,0.0,624.0,1344,1,2,513.0,1,98000,0.0,1,0,0,1,0,0,0,0,0,0,0
10,5,1963,0,0,0.0,3,0.0,1121.0,1121,1,2,480.0,1,139000,0.0,1,0,1,0,0,0,0,0,0,0,0
11,6,1977,0,0,148.0,3,0.0,660.0,1285,1,2,528.0,1,143500,1.0,1,0,1,0,0,0,0,0,0,0,0
12,5,1968,0,0,0.0,3,0.0,894.0,894,1,2,450.0,1,129000,1.0,1,0,1,0,0,0,0,0,0,0,0
13,8,2000,0,0,0.0,3,0.0,1501.0,1659,2,4,499.0,1,278000,1.0,1,0,1,0,0,0,0,0,0,0,0
14,8,2005,0,0,0.0,3,0.0,1209.0,2253,2,4,575.0,1,344133,1.0,1,0,1,0,0,0,0,0,0,1,0
15,5,1955,1,0,0.0,3,0.0,1056.0,1056,1,2,572.0,1,145000,1.0,1,0,1,0,0,0,1,0,0,0,0
16,6,1961,1,0,3.0,3,0.0,1453.0,1453,2,2,530.0,1,187500,1.0,1,0,1,0,0,0,0,0,0,0,0
17,5,1937,0,0,0.0,3,0.0,942.0,1938,2,3,240.0,1,198000,0.0,1,0,1,0,0,1,0,0,0,0,0
18,5,1895,0,0,0.0,4,0.0,957.0,1991,2,2,0.0,0,119600,0.0,1,0,0,0,0,0,0,0,0,0,0
19,5,1949,0,0,0.0,4,0.0,672.0,924,1,2,576.0,1,122900,0.0,1,0,1,0,0,0,0,0,0,0,0
20,8,1981,1,1,0.0,3,0.0,2524.0,2524,2,3,542.0,1,278000,1.0,1,1,1,0,0,0,0,0,0,0,0
21,8,1929,0,0,0.0,3,0.0,792.0,1517,1,3,400.0,1,230000,0.0,1,0,1,0,0,1,0,0,0,0,0
22,8,1995,1,0,0.0,4,0.0,1494.0,1494,1,4,481.0,1,270000,1.0,1,0,1,0,0,0,0,1,0,0,0
23,6,1952,1,0,0.0,3,0.0,948.0,948,1,2,410.0,0,125000,0.0,1,0,1,0,0,0,0,0,0,0,0
24,8,2007,1,0,336.0,3,1.0,1705.0,1718,2,3,826.0,1,297000,1.0,1,0,1,0,0,0,0,0,0,0,0
25,6,1958,0,0,82.0,3,1.0,160.0,1142,1,2,384.0,1,113500,0.0,1,0,1,0,0,1,0,0,0,0,0
26,5,1977,0,0,0.0,3,0.0,757.0,1475,2,2,336.0,1,127000,1.0,1,0,0,1,0,0,0,0,0,0,0
27,7,1973,1,0,320.0,3,0.0,1242.0,1242,1,2,528.0,1,175500,1.0,1,0,1,0,0,0,0,0,0,0,0
28,5,1994,0,0,0.0,4,0.0,990.0,990,1,2,384.0,1,146000,0.0,1,0,1,0,0,0,0,0,0,0,0
29,5,1965,0,0,0.0,3,0.0,1256.0,1256,1,2,276.0,1,147500,1.0,1,0,1,0,0,0,0,0,0,0,0
30,10,2006,0,0,0.0,3,1.0,2076.0,2076,2,4,850.0,1,465000,1.0,1,0,1,0,0,0,0,0,0,1,0
31,5,1978,0,0,104.0,4,0.0,1097.0,1110,1,3,602.0,1,165500,1.0,1,0,1,0,0,0,0,0,0,0,0
32,5,1954,0,0,335.0,3,0.0,1050.0,1795,2,2,352.0,1,131500,1.0,1,0,0,1,0,0,0,0,0,0,0
33,5,1965,1,0,0.0,3,0.0,1040.0,1040,1,2,384.0,1,129500,0.0,1,0,1,0,0,0,0,0,0,0,0
34,8,1935,0,0,40.0,3,0.0,608.0,1873,1,2,786.0,1,257076,0.0,1,0,1,0,0,1,0,0,0,0,0
35,5,1941,0,0,0.0,3,0.0,984.0,1604,2,2,660.0,1,117000,0.0,1,0,1,0,0,0,0,0,0,0,0
36,7,1931,0,0,0.0,2,0.0,776.0,1502,1,2,270.0,0,149000,1.0,1,0,1,0,0,1,0,0,0,0,0
37,7,2003,0,0,106.0,3,0.0,764.0,1626,2,3,474.0,1,155000,1.0,1,0,1,0,0,0,0,0,0,1,0
38,6,2000,0,0,513.0,3,0.0,756.0,1524,2,3,440.0,1,166000,0.0,1,0,0,0,1,0,0,0,0,0,0
39,4,1928,0,0,0.0,3,0.0,1122.0,1981,2,3,576.0,1,135000,0.0,1,0,1,0,0,0,0,0,0,0,0
40,7,1978,0,0,184.0,3,0.0,1392.0,2784,3,3,564.0,1,250000,1.0,1,0,1,0,0,0,0,0,0,0,0
41,6,1951,1,0,522.0,3,0.0,216.0,1575,1,3,400.0,1,155000,1.0,1,0,1,0,0,0,0,0,0,0,0
42,5,1954,0,0,0.0,4,0.0,936.0,936,1,2,240.0,1,121000,1.0,1,0,1,0,0,0,0,0,0,0,0
43,6,1953,1,0,0.0,3,0.0,1040.0,1040,1,2,293.0,1,136000,1.0,1,0,1,0,0,0,0,0,0,0,0
44,6,1996,0,0,0.0,3,0.0,916.0,1636,2,2,386.0,1,173000,1.0,1,0,1,0,0,0,0,0,0,0,0
45,8,2007,0,0,0.0,3,0.0,1184.0,2610,2,4,550.0,1,303477,1.0,1,0,0,0,1,0,0,0,0,0,0
46,5,1920,0,0,0.0,2,0.0,936.0,1740,1,4,225.0,0,122250,0.0,1,0,0,1,0,0,0,0,0,0,0
47,5,1955,0,0,0.0,3,0.0,1382.0,1382,1,3,350.0,1,153000,1.0,1,0,1,0,0,0,0,0,0,0,0
48,5,2007,0,0,0.0,3,0.0,1120.0,1120,1,2,0.0,1,147000,0.0,1,0,1,0,0,0,0,0,0,0,0
49,7,1930,0,0,0.0,3,0.0,531.0,1098,1,2,216.0,1,148500,0.0,1,0,1,0,0,0,0,0,0,0,0
50,7,2004,0,0,117.0,3,0.0,976.0,1708,2,3,380.0,1,130000,0.0,1,0,0,1,0,0,0,0,0,0,0
51,9,2006,1,0,510.0,3,1.0,1802.0,1802,2,4,843.0,1,372000,1.0,1,0,1,0,0,1,0,0,0,1,0
52,7,2005,0,0,145.0,3,1.0,1362.0,1506,2,3,440.0,1,213490,1.0,1,0,1,0,0,0,0,0,0,0,0
53,7,1996,0,0,668.0,3,0.0,1840.0,2032,3,3,786.0,1,300000,1.0,1,0,1,0,0,0,0,0,0,0,0
54,6,1959,1,0,0.0,3,0.0,655.0,1194,1,2,539.0,1,159500,1.0,1,0,1,0,0,0,0,0,0,0,0
55,7,2004,0,0,50.0,3,0.0,970.0,1709,2,3,380.0,1,137500,0.0,1,0,0,1,0,0,0,0,0,0,0
56,7,2005,0,0,228.0,3,0.0,1616.0,1616,2,3,834.0,1,232000,1.0,1,0,1,0,0,0,0,0,0,0,0
57,6,1930,0,0,0.0,4,0.0,768.0,768,1,2,440.0,0,93850,0.0,1,0,0,1,0,0,0,0,0,0,0
58,5,1924,0,0,65.0,3,0.0,872.0,872,1,1,322.0,0,105000,0.0,1,0,1,0,0,0,0,0,0,0,0
59,4,1927,0,0,0.0,3,0.0,520.0,520,1,1,240.0,1,68500,0.0,1,0,0,1,0,0,0,0,0,0,0
60,5,1925,0,0,0.0,4,0.0,936.0,1601,2,2,0.0,0,129850,0.0,1,0,0,1,0,0,0,0,0,0,0
61,5,1910,0,0,0.0,3,0.0,616.0,1232,1,2,480.0,1,114000,0.0,1,0,0,1,0,0,0,0,0,0,0
62,9,2008,1,0,748.0,3,0.0,2216.0,2234,2,4,1166.0,1,501837,1.0,1,0,1,0,0,0,0,1,0,0,0
63,5,1915,0,0,0.0,3,0.0,876.0,1416,1,2,720.0,1,153900,0.0,1,0,0,1,0,0,0,0,0,0,0
64,4,1971,0,0,0.0,4,0.0,864.0,864,1,2,576.0,1,130000,0.0,1,0,1,0,0,0,0,0,0,0,0
65,6,1997,1,0,197.0,3,0.0,1189.0,1189,2,2,392.0,1,160500,1.0,1,0,0,1,0,0,0,0,0,0,0
66,9,2006,1,0,572.0,3,0.0,1666.0,1666,2,3,575.0,1,310090,1.0,1,0,1,0,0,0,0,0,0,1,0
67,7,2003,0,0,0.0,3,0.0,1176.0,1200,2,3,555.0,1,184900,1.0,1,0,1,0,0,0,0,0,0,0,0
