,overall_qual,year_built,roof_style,roof_matl,mas_vnr_area,exter_cond,bsmt_exposure,total_bsmt_sf,gr_liv_area,full_bath,kitchen_qual,garage_area,paved_drive,saleprice,attached_garage,has_basement,offsite_feature,residential_low,residential_other,floating_village,hillside,banked,culdesac,northridge,northridge_hts,briardale,log_gr_liv_area,log_total_bsmt_sf,sqrt_gr_liv_area
0,7,1996,0,0,132.0,3,0.0,913.0,2122,2,3,559.0,1,220000,1.0,1,0,1,0,0,0,0,1,0,0,0,7.660114319173928,6.816746833437505,46.06517122512408
1,6,2005,0,0,82.0,3,1.0,547.0,1072,2,2,525.0,1,140000,0.0,1,0,0,1,0,0,0,0,0,0,0,6.977281341630747,6.304467083790525,32.7414110874898
2,5,1952,0,0,0.0,3,0.0,924.0,924,1,2,420.0,1,112500,0.0,1,0,1,0,0,0,0,0,0,0,0,6.828712071641684,6.828722894093944,30.397368307141328
3,5,1969,0,0,192.0,3,0.0,1040.0,2080,1,1,504.0,1,135000,1.0,1,0,1,0,0,1,0,0,0,0,0,7.640123172695364,6.946985607473806,45.60701700396552
4,6,1971,0,0,232.0,3,0.0,483.0,987,1,2,264.0,1,85400,0.0,1,0,0,1,0,0,0,0,0,0,1,6.894670039433482,6.180037357371996,31.416556144810016
5,7,2005,0,0,0.0,3,0.0,1208.0,1208,2,3,632.0,1,183600,1.0,1,0,1,0,0,0,0,0,0,0,0,7.0967213784947605,7.096729656606192,34.75629439396553
6,5,1880,0,0,0.0,3,0.0,0.0,2016,1,2,576.0,0,131000,1.0,0,0,1,0,0,0,1,0,0,0,0,7.60887062919126,-4.605170185988091,44.8998886412873
7,8,1999,0,0,456.0,3,0.0,960.0,1607,2,3,480.0,1,200000,0.0,1,0,0,0,1,0,0,0,0,0,0,7.382124365737512,6.8669437010742955,40.08740450565489
8,7,2007,0,0,0.0,3,0.0,1351.0,1361,2,3,610.0,1,193000,1.0,1,0,1,0,0,0,0,0,0,0,0,7.215975002651466,7.208607739857305,36.89173349139343
9,5,1916,0,0,0.0,3,0.0,624.0,1344,1,2,513.0,1,98000,0.0,1,0,0,1,0,0,0,0,0,0,0,7.203405521083095,6.436166393882044,36.66060555964672
